Plant,Source,Parameter,Units,TimeStamp,Value,Description
Lake,LAKE-1,GFLOW_BT,100SCFH,2/14/2023 0:00,91837.36376,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/15/2023 0:00,152269.7718,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/16/2023 0:00,148484.8201,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/17/2023 0:00,126590.7448,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/18/2023 0:00,119676.6179,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/19/2023 0:00,55699.37423,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/20/2023 0:00,131.429169,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/21/2023 0:00,57833.03335,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/22/2023 0:00,50340.34843,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/23/2023 0:00,67948.24187,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/24/2023 0:00,46112.38545,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/26/2023 0:00,35104.45749,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/27/2023 0:00,12937.14621,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,2/28/2023 0:00,84643.8145,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/1/2023 0:00,167640.3662,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/2/2023 0:00,165304.3209,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/3/2023 0:00,143862.818,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/4/2023 0:00,5083.485647,GFLOW Block Total
